epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss
1,3.6106879711151123,3.6106879711151123,1.7408207654953003,,,,,,,
2,0.06942709535360336,0.06942709535360336,0.8333570957183838,0.06592298746109009,0.06592298746109009,0.724526834487915,0.0675198793411255,0.0675198793411255,0.7576070785522461,0.7576070785522461
3,0.011791352182626724,0.011791352182626724,0.7565566301345825,,,,,,,
4,0.0031282396521419287,0.0031282396521419287,0.7097060680389404,0.001056313142180443,0.001056313142180443,0.6932799339294433,0.0009621577337384224,0.0009621577337384224,0.6957868099212646,0.6957868099212646
5,0.0009260096121579409,0.0009260096121579409,0.6977229714393616,,,,,,,
6,0.0006841314025223255,0.0006841314025223255,0.6971755027770996,0.0008262875489890575,0.0008262875489890575,0.6932950973510742,0.0007377498783171177,0.0007377498783171177,0.6959116935729981,0.6959116935729981
7,0.0006330785108730197,0.0006330785108730197,0.6968923211097717,,,,,,,
8,0.0006158013711683452,0.0006158013711683452,0.6967892646789551,0.0007835356518626213,0.0007835356518626213,0.6933901309967041,0.0006945976056158543,0.0006945976056158543,0.6956493377685546,0.6956493377685546
9,0.0006064237677492201,0.0006064237677492201,0.6967887878417969,,,,,,,
10,0.0005981923313811421,0.0005981923313811421,0.6967584490776062,0.0007468320429325104,0.0007468320429325104,0.6932508468627929,0.0006573451682925224,0.0006573451682925224,0.6955278873443603,0.6955278873443603
11,0.0005952018545940518,0.0005952018545940518,0.6966617107391357,,,,,,,
12,0.0005905702710151672,0.0005905702710151672,0.6966093182563782,0.0007338257972151041,0.0007338257972151041,0.6932412624359131,0.000644488399848342,0.000644488399848342,0.695435905456543,0.695435905456543
13,0.0005869233282282948,0.0005869233282282948,0.6965531706809998,,,,,,,
14,0.000584612600505352,0.000584612600505352,0.6964730024337769,0.0007254053838551044,0.0007254053838551044,0.6932314872741699,0.00063604018650949,0.00063604018650949,0.695338773727417,0.695338773727417
15,0.0005835872725583613,0.0005835872725583613,0.6963815689086914,,,,,,,
16,0.00058133335551247,0.00058133335551247,0.696327269077301,0.0007215559482574463,0.0007215559482574463,0.6932225704193116,0.0006324818357825279,0.0006324818357825279,0.6952443599700928,0.6952443599700928
17,0.000579770072363317,0.000579770072363317,0.6962685585021973,,,,,,,
18,0.0005787447444163263,0.0005787447444163263,0.6962020397186279,0.0007190493866801262,0.0007190493866801262,0.6932150840759277,0.0006300005130469799,0.0006300005130469799,0.6951621055603028,0.6951621055603028
