threshold,precision,recall,pr_auc
0.0,0.4494477485131691,1.0,0.7247238742565846
0.005,0.4494477485131691,1.0,0.7247238742565846
0.01,0.4494477485131691,1.0,0.7247238742565846
0.015,0.4494477485131691,1.0,0.7247238742565846
0.02,0.4494477485131691,1.0,0.7247238742565846
0.025,0.4494477485131691,1.0,0.7247238742565846
0.03,0.4494477485131691,1.0,0.7247238742565846
0.035,0.4494477485131691,1.0,0.7247238742565846
0.04,0.4494477485131691,1.0,0.7247238742565846
0.045,0.4494477485131691,1.0,0.7247238742565846
0.05,0.4494477485131691,1.0,0.7247238742565846
0.055,0.4494477485131691,1.0,0.7247238742565846
0.06,0.4494477485131691,1.0,0.7247238742565846
0.065,0.4494477485131691,1.0,0.7247238742565846
0.07,0.4494477485131691,1.0,0.7247238742565846
0.075,0.4494477485131691,1.0,0.7247238742565846
0.08,0.4494477485131691,1.0,0.7247238742565846
0.085,0.4494477485131691,1.0,0.7247238742565846
0.09,0.4494477485131691,1.0,0.7247238742565846
0.095,0.4494477485131691,1.0,0.7247238742565846
0.1,0.4494477485131691,1.0,0.7247238742565846
0.105,0.4494477485131691,1.0,0.7247238742565846
0.11,0.4494477485131691,1.0,0.7247238742565846
0.115,0.4494477485131691,1.0,0.7247238742565846
0.12,0.4494477485131691,1.0,0.7247238742565846
0.125,0.4494477485131691,1.0,0.7247238742565846
0.13,0.4494477485131691,1.0,0.7247238742565846
0.135,0.4494477485131691,1.0,0.7247238742565846
0.14,0.4494477485131691,1.0,0.7247238742565846
0.145,0.4494477485131691,1.0,0.7247238742565846
0.15,0.4494477485131691,1.0,0.7247238742565846
0.155,0.4494477485131691,1.0,0.7247238742565846
0.16,0.4494477485131691,1.0,0.7247238742565846
0.165,0.4494477485131691,1.0,0.7247238742565846
0.17,0.4494477485131691,1.0,0.7247238742565846
0.17500000000000002,0.4494477485131691,1.0,0.7247238742565846
0.18,0.4494477485131691,1.0,0.7247238742565846
0.185,0.4494477485131691,1.0,0.7247238742565846
0.19,0.4494477485131691,1.0,0.7247238742565846
0.195,0.4494477485131691,1.0,0.7247238742565846
0.2,0.4494477485131691,1.0,0.7247238742565846
0.20500000000000002,0.4494477485131691,1.0,0.7247238742565846
0.21,0.4494477485131691,1.0,0.7247238742565846
0.215,0.4494477485131691,1.0,0.7247238742565846
0.22,0.4494477485131691,1.0,0.7247238742565846
0.225,0.4494477485131691,1.0,0.7247238742565846
0.23,0.4494477485131691,1.0,0.7247238742565846
0.23500000000000001,0.4494477485131691,1.0,0.7247238742565846
0.24,0.4494477485131691,1.0,0.7247238742565846
0.245,0.4494477485131691,1.0,0.7247238742565846
0.25,0.4494477485131691,1.0,0.7247238742565846
0.255,0.4494477485131691,1.0,0.7247238742565846
0.26,0.4494477485131691,1.0,0.7247238742565846
0.265,0.4494477485131691,1.0,0.7247238742565846
0.27,0.4494477485131691,1.0,0.7247238742565846
0.275,0.4494477485131691,1.0,0.7247238742565846
0.28,0.4494477485131691,1.0,0.7247238742565846
0.28500000000000003,0.4494477485131691,1.0,0.7247238742565846
0.29,0.4494477485131691,1.0,0.7247238742565846
0.295,0.4494477485131691,1.0,0.7247238742565846
0.3,0.4494477485131691,1.0,0.7247238742565846
0.305,0.4494477485131691,1.0,0.7247238742565846
0.31,0.4494477485131691,1.0,0.7247238742565846
0.315,0.4494477485131691,1.0,0.7247238742565846
0.32,0.4494477485131691,1.0,0.7247238742565846
0.325,0.4494477485131691,1.0,0.7247238742565846
0.33,0.4494477485131691,1.0,0.7247238742565846
0.335,0.4494477485131691,1.0,0.7247238742565846
0.34,0.4494477485131691,1.0,0.7247238742565846
0.34500000000000003,0.4494477485131691,1.0,0.7247238742565846
0.35000000000000003,0.4494477485131691,1.0,0.7247238742565846
0.355,0.4494477485131691,1.0,0.7247238742565846
0.36,0.4494477485131691,1.0,0.7247238742565846
0.365,0.4494477485131691,1.0,0.7247238742565846
0.37,0.4494477485131691,1.0,0.7247238742565846
0.375,0.4494477485131691,1.0,0.7247238742565846
0.38,0.4494477485131691,1.0,0.7247238742565846
0.385,0.4494477485131691,1.0,0.7247238742565846
0.39,0.4494477485131691,1.0,0.7247238742565846
0.395,0.4494477485131691,1.0,0.7247238742565846
0.4,0.4494477485131691,1.0,0.7247238742565846
0.405,0.4494477485131691,1.0,0.7247238742565846
0.41000000000000003,0.4494477485131691,1.0,0.7247238742565846
0.41500000000000004,0.4494477485131691,1.0,0.7247238742565846
0.42,0.4494477485131691,1.0,0.7247238742565846
0.425,0.4494477485131691,1.0,0.7247238742565846
0.43,0.4494477485131691,1.0,0.7247238742565846
0.435,0.4494477485131691,1.0,0.7247238742565846
0.44,0.4494477485131691,1.0,0.7247238742565846
0.445,0.4494477485131691,1.0,0.7247238742565846
0.45,0.4494477485131691,1.0,0.7247238742565846
0.455,0.4494477485131691,1.0,0.7247238742565846
0.46,0.4494477485131691,1.0,0.7247238742565846
0.465,0.4494477485131691,1.0,0.7247238742565846
0.47000000000000003,0.4494477485131691,1.0,0.7247238742565846
0.47500000000000003,0.4494477485131691,1.0,0.7247238742565846
0.48,0.4494477485131691,1.0,0.7247238742565846
0.485,0.4494477485131691,1.0,0.7247238742565846
0.49,0.4494477485131691,1.0,0.7247238742565846
0.495,0.4494477485131691,1.0,0.7247238742565846
0.5,0.4494477485131691,1.0,0.7247238742565846
0.505,0.4494477485131691,1.0,0.7247238742565846
0.51,1.0,0.0,0.7247238742565846
0.515,1.0,0.0,0.7247238742565846
0.52,1.0,0.0,0.7247238742565846
0.525,1.0,0.0,0.7247238742565846
0.53,1.0,0.0,0.7247238742565846
0.535,1.0,0.0,0.7247238742565846
0.54,1.0,0.0,0.7247238742565846
0.545,1.0,0.0,0.7247238742565846
0.55,1.0,0.0,0.7247238742565846
0.555,1.0,0.0,0.7247238742565846
0.56,1.0,0.0,0.7247238742565846
0.5650000000000001,1.0,0.0,0.7247238742565846
0.5700000000000001,1.0,0.0,0.7247238742565846
0.5750000000000001,1.0,0.0,0.7247238742565846
0.58,1.0,0.0,0.7247238742565846
0.585,1.0,0.0,0.7247238742565846
0.59,1.0,0.0,0.7247238742565846
0.595,1.0,0.0,0.7247238742565846
0.6,1.0,0.0,0.7247238742565846
0.605,1.0,0.0,0.7247238742565846
0.61,1.0,0.0,0.7247238742565846
0.615,1.0,0.0,0.7247238742565846
0.62,1.0,0.0,0.7247238742565846
0.625,1.0,0.0,0.7247238742565846
0.63,1.0,0.0,0.7247238742565846
0.635,1.0,0.0,0.7247238742565846
0.64,1.0,0.0,0.7247238742565846
0.645,1.0,0.0,0.7247238742565846
0.65,1.0,0.0,0.7247238742565846
0.655,1.0,0.0,0.7247238742565846
0.66,1.0,0.0,0.7247238742565846
0.665,1.0,0.0,0.7247238742565846
0.67,1.0,0.0,0.7247238742565846
0.675,1.0,0.0,0.7247238742565846
0.68,1.0,0.0,0.7247238742565846
0.685,1.0,0.0,0.7247238742565846
0.6900000000000001,1.0,0.0,0.7247238742565846
0.6950000000000001,1.0,0.0,0.7247238742565846
0.7000000000000001,1.0,0.0,0.7247238742565846
0.705,1.0,0.0,0.7247238742565846
0.71,1.0,0.0,0.7247238742565846
0.715,1.0,0.0,0.7247238742565846
0.72,1.0,0.0,0.7247238742565846
0.725,1.0,0.0,0.7247238742565846
0.73,1.0,0.0,0.7247238742565846
0.735,1.0,0.0,0.7247238742565846
0.74,1.0,0.0,0.7247238742565846
0.745,1.0,0.0,0.7247238742565846
0.75,1.0,0.0,0.7247238742565846
0.755,1.0,0.0,0.7247238742565846
0.76,1.0,0.0,0.7247238742565846
