epoch,train_loss,train_heatmap_loss,train_presence_loss,train_center_mae_px,val_loss,val_heatmap_loss,val_presence_loss,val_center_mae_px,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss,test_center_mae_px
1,20.04306411743164,11.606603622436523,2.6331613063812256,23.242919921875,,,,,,,,,
2,11.03410530090332,6.1055803298950195,1.8757354021072388,12.416170120239258,,,,,,,,,
3,4.334328651428223,1.9131653308868408,1.4645802974700928,4.043001174926758,,,,,,,,,
4,2.6829164028167725,1.0483429431915283,1.1104018688201904,2.242797374725342,,,,,,,,,
5,1.8208210468292236,0.6742781400680542,0.809403657913208,1.4822685718536377,,,,,,,,,
6,1.434708833694458,0.5109889507293701,0.6682252883911133,1.1245160102844238,,,,,,,,,
7,1.4677038192749023,0.5524286031723022,0.6390609741210938,1.1768563985824585,,,,,,,,,
8,1.5162324905395508,0.5832201838493347,0.6414022445678711,1.2151873111724854,,,,,,,,,
9,1.4187877178192139,0.5216069221496582,0.6363773345947266,1.0923280715942383,,,,,,,,,
10,1.1469725370407104,0.34097081422805786,0.6355162858963013,0.7315442562103271,7.328915278116862,4.438490231831868,0.6711797714233398,8.892898559570312,13.61782964070638,8.64248021443685,0.6541096766789755,0.6541096766789755,17.644330342610676
11,1.140979528427124,0.3379855751991272,0.6340011358261108,0.7166834473609924,,,,,,,,,
12,1.1235904693603516,0.32850581407546997,0.6308317184448242,0.7055562734603882,,,,,,,,,
13,1.1352131366729736,0.3403448462486267,0.6246957778930664,0.7209560871124268,,,,,,,,,
14,1.084306240081787,0.30771422386169434,0.6227349042892456,0.6509150266647339,,,,,,,,,
15,1.1960346698760986,0.38459721207618713,0.6191388368606567,0.7941166758537292,,,,,,,,,
16,1.0504629611968994,0.28998345136642456,0.615487813949585,0.6107478737831116,,,,,,,,,
17,0.993149995803833,0.2547357976436615,0.611046314239502,0.5409069657325745,,,,,,,,,
18,1.1474251747131348,0.36131224036216736,0.6054569482803345,0.753159761428833,,,,,,,,,
19,1.0170378684997559,0.2787061929702759,0.5989785194396973,0.5835280418395996,,,,,,,,,
20,1.0185186862945557,0.28326451778411865,0.5936218500137329,0.5971807241439819,7.005407969156901,4.223548571268718,0.6700857480367025,8.697017669677734,16.508040110270183,10.561284383138021,0.6661144892374674,0.6661144892374674,22.224268595377605
21,0.9856510162353516,0.2642689645290375,0.5892475843429565,0.5568029880523682,,,,,,,,,
22,1.0268360376358032,0.2943934202194214,0.5852459073066711,0.6170200109481812,,,,,,,,,
23,0.9765283465385437,0.2637813985347748,0.5808562636375427,0.5528320670127869,,,,,,,,,
24,0.929926872253418,0.23686476051807404,0.5746297240257263,0.49899113178253174,,,,,,,,,
25,0.8692444562911987,0.2003716677427292,0.5686869025230408,0.43214380741119385,,,,,,,,,
26,0.8698315620422363,0.20546135306358337,0.5616395473480225,0.4363366365432739,,,,,,,,,
27,0.9231163859367371,0.24494700133800507,0.5556958913803101,0.5120070576667786,,,,,,,,,
28,0.9700687527656555,0.28035688400268555,0.549533486366272,0.5868793725967407,,,,,,,,,
29,0.9501286149024963,0.26723214983940125,0.5492804050445557,0.5593327283859253,,,,,,,,,
30,0.8420201539993286,0.19790500402450562,0.5451626777648926,0.42960792779922485,7.476068496704102,4.53196652730306,0.6781193415323893,9.395907084147135,17.734334309895832,11.38351821899414,0.659056822458903,0.659056822458903,23.390294392903645
31,0.801767110824585,0.1743522584438324,0.5402387380599976,0.3734361529350281,,,,,,,,,
32,0.7958331108093262,0.17762243747711182,0.5293995141983032,0.3866647481918335,,,,,,,,,
33,0.7936918139457703,0.18404097855091095,0.5176303386688232,0.40695592761039734,,,,,,,,,
34,0.759962260723114,0.16789057850837708,0.508126437664032,0.36555278301239014,,,,,,,,,
35,0.7656276226043701,0.17737509310245514,0.4995650351047516,0.3798505663871765,,,,,,,,,
36,0.7173904776573181,0.15114057064056396,0.49067968130111694,0.3351302146911621,,,,,,,,,
37,0.7777732610702515,0.19808773696422577,0.480641633272171,0.4248880445957184,,,,,,,,,
38,0.756013810634613,0.1903456598520279,0.4704952836036682,0.42578983306884766,,,,,,,,,
39,0.6830567717552185,0.14703486859798431,0.46250441670417786,0.3311687111854553,,,,,,,,,
40,0.6889797449111938,0.15789976716041565,0.4521300792694092,0.34595879912376404,8.166542053222656,4.990960756937663,0.6800998051961263,10.377017974853516,19.768029530843098,12.740544637044271,0.6572132110595703,0.6572132110595703,25.96142832438151
41,0.7012015581130981,0.17827829718589783,0.4337840676307678,0.4023967385292053,,,,,,,,,
42,0.7372746467590332,0.21030500531196594,0.4218171536922455,0.45525872707366943,,,,,,,,,
43,0.6792763471603394,0.17716142535209656,0.41353410482406616,0.3975719213485718,,,,,,,,,
44,0.6345264315605164,0.15577846765518188,0.4008587598800659,0.36264216899871826,,,,,,,,,
45,0.6149179935455322,0.15306049585342407,0.38532721996307373,0.37162017822265625,,,,,,,,,
46,0.6057047247886658,0.15911667048931122,0.36702975630760193,0.376310795545578,,,,,,,,,
47,0.5891704559326172,0.15788887441158295,0.3523370623588562,0.3681449890136719,,,,,,,,,
48,0.6468353271484375,0.20625893771648407,0.337446928024292,0.462495893239975,,,,,,,,,
49,0.6375769376754761,0.20789100229740143,0.3257404565811157,0.47708645462989807,,,,,,,,,
50,0.558117151260376,0.16185270249843597,0.315338134765625,0.3848758339881897,10.171661376953125,6.2827301025390625,0.7475660641988119,13.144293467203775,21.546544392903645,13.91775894165039,0.6699062983194987,0.6699062983194987,27.88518778483073
51,0.5542455315589905,0.16917173564434052,0.3004879653453827,0.40633296966552734,,,,,,,,,
52,0.5406256914138794,0.1692451536655426,0.2867579460144043,0.40313464403152466,,,,,,,,,
53,0.5144999027252197,0.1603718400001526,0.27394217252731323,0.3966372311115265,,,,,,,,,
54,0.48420244455337524,0.14657112956047058,0.26434576511383057,0.3702131509780884,,,,,,,,,
55,0.4777953624725342,0.14855337142944336,0.25496527552604675,0.38570016622543335,,,,,,,,,
56,0.4911128878593445,0.15802793204784393,0.2540709972381592,0.3986518383026123,,,,,,,,,
57,0.483144611120224,0.15652458369731903,0.24835777282714844,0.3873361051082611,,,,,,,,,
58,0.5045181512832642,0.17500007152557373,0.24201804399490356,0.43237921595573425,,,,,,,,,
59,0.46100151538848877,0.1500740349292755,0.2358904629945755,0.37921449542045593,,,,,,,,,
60,0.4515887200832367,0.14617928862571716,0.23231978714466095,0.3681641221046448,7.849215189615886,4.694143295288086,0.8080007235209147,9.851447423299154,22.42498779296875,14.457213083902994,0.7391660213470459,0.7391660213470459,29.700917561848957
61,0.4356420040130615,0.13930487632751465,0.22668471932411194,0.382748544216156,,,,,,,,,
62,0.4140009880065918,0.12449279427528381,0.2272617369890213,0.33525383472442627,,,,,,,,,
63,0.40395450592041016,0.11952415853738785,0.2246682494878769,0.3341812491416931,,,,,,,,,
64,0.4179452657699585,0.1293964684009552,0.2238505482673645,0.33677080273628235,,,,,,,,,
65,0.4683340787887573,0.16639861464500427,0.2187361717224121,0.4133349061012268,,,,,,,,,
66,0.4551845192909241,0.15737712383270264,0.2191188484430313,0.40518689155578613,,,,,,,,,
67,0.43359124660491943,0.14458033442497253,0.21672071516513824,0.41014766693115234,,,,,,,,,
68,0.39665496349334717,0.11647918820381165,0.2219361960887909,0.31270113587379456,,,,,,,,,
69,0.3737316429615021,0.1028626412153244,0.21943770349025726,0.2887566387653351,,,,,,,,,
70,0.36616000533103943,0.10174039006233215,0.2135494351387024,0.28076106309890747,8.44517453511556,5.010121027628581,0.9299929936726888,10.239195505777994,21.308307647705078,13.6470095316569,0.83779509862264,0.83779509862264,27.310292561848957
71,0.35459601879119873,0.09672296792268753,0.20951154828071594,0.27862104773521423,,,,,,,,,
72,0.35996684432029724,0.1005433052778244,0.20915186405181885,0.278393030166626,,,,,,,,,
73,0.3493097424507141,0.09472356736660004,0.20722439885139465,0.27853885293006897,,,,,,,,,
74,0.3549317419528961,0.0985618382692337,0.20708899199962616,0.28495562076568604,,,,,,,,,
75,0.35949569940567017,0.10046353936195374,0.20880037546157837,0.2806532680988312,,,,,,,,,
76,0.3958475887775421,0.12638697028160095,0.2062671184539795,0.32829809188842773,,,,,,,,,
77,0.3650990128517151,0.10651999711990356,0.20531900227069855,0.303181529045105,,,,,,,,,
78,0.3823198676109314,0.11571517586708069,0.20874711871147156,0.3203791379928589,,,,,,,,,
79,0.3909037113189697,0.1212162896990776,0.20907926559448242,0.3187565803527832,,,,,,,,,
80,0.37783288955688477,0.11506722122430801,0.20523205399513245,0.3080802857875824,7.413075129191081,4.396046320597331,0.819005568822225,9.078615188598633,22.99480946858724,14.743980407714844,0.878836472829183,0.878836472829183,30.206527709960938
81,0.3524820804595947,0.09912780672311783,0.20379036664962769,0.28466808795928955,,,,,,,,,
82,0.34266313910484314,0.08888068795204163,0.2093420922756195,0.27244824171066284,,,,,,,,,
83,0.33171239495277405,0.08328182995319366,0.20678962767124176,0.2551165819168091,,,,,,,,,
84,0.33142152428627014,0.08472517877817154,0.20433373749256134,0.2536103129386902,,,,,,,,,
85,0.34393060207366943,0.09560175985097885,0.20052796602249146,0.28239357471466064,,,,,,,,,
86,0.3323124647140503,0.08870715647935867,0.19925174117088318,0.2539459466934204,,,,,,,,,
