epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss
1,3.6088922023773193,3.6088922023773193,1.7457778453826904,,,,,,,
2,0.06976202130317688,0.06976202130317688,0.8273541927337646,0.05032512545585632,0.05032512545585632,0.7031923770904541,0.051030927896499635,0.051030927896499635,0.7228141307830811,0.7228141307830811
3,0.01182429026812315,0.01182429026812315,0.7430610656738281,,,,,,,
4,0.0032890180591493845,0.0032890180591493845,0.7107388973236084,0.001626097783446312,0.001626097783446312,0.6932695388793946,0.001560716424137354,0.001560716424137354,0.6954893112182617,0.6954893112182617
5,0.001089173834770918,0.001089173834770918,0.700800359249115,,,,,,,
6,0.000708362553268671,0.000708362553268671,0.6970101594924927,0.0008029830642044544,0.0008029830642044544,0.6932401657104492,0.0007163836620748043,0.0007163836620748043,0.6954250812530518,0.6954250812530518
7,0.0006187140825204551,0.0006187140825204551,0.6963821649551392,,,,,,,
8,0.0005892763729207218,0.0005892763729207218,0.6962959170341492,0.0007287080399692059,0.0007287080399692059,0.693229866027832,0.0006413443945348263,0.0006413443945348263,0.6953211307525635,0.6953211307525635
9,0.0005786375841125846,0.0005786375841125846,0.6964107155799866,,,,,,,
10,0.0005717195454053581,0.0005717195454053581,0.6963818073272705,0.0007052581291645766,0.0007052581291645766,0.693225908279419,0.0006163262762129307,0.0006163262762129307,0.6952810764312745,0.6952810764312745
11,0.0005704609793610871,0.0005704609793610871,0.6963255405426025,,,,,,,
