epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss
1,3.2363181114196777,3.2363181114196777,3.9085960388183594,,,,,,,
2,0.027005771175026894,0.027005771175026894,0.7180365920066833,9.767442321777343,9.767442321777343,1.1463499069213867,20.139122009277344,20.139122009277344,1.4434656143188476,1.4434656143188476
3,0.004606531001627445,0.004606531001627445,0.7587412595748901,,,,,,,
4,0.0013565144035965204,0.0013565144035965204,0.6974872350692749,0.000787309929728508,0.000787309929728508,0.6935836791992187,0.0007969264872372151,0.0007969264872372151,0.6931772232055664,0.6931772232055664
5,0.0007549727451987565,0.0007549727451987565,0.7029097080230713,,,,,,,
6,0.0006471246597357094,0.0006471246597357094,0.6956179738044739,0.0007262899074703455,0.0007262899074703455,0.6935502052307129,0.000665088277310133,0.000665088277310133,0.691335391998291,0.691335391998291
7,0.0006224142853170633,0.0006224142853170633,0.6961564421653748,,,,,,,
8,0.0006112004048191011,0.0006112004048191011,0.6953960657119751,0.0007206935435533524,0.0007206935435533524,0.6933923721313476,0.0006541551556438208,0.0006541551556438208,0.6915960311889648,0.6915960311889648
9,0.0006106276414357126,0.0006106276414357126,0.6954278945922852,,,,,,,
10,0.0006094434065744281,0.0006094434065744281,0.695252001285553,0.0007186949253082276,0.0007186949253082276,0.6933891296386718,0.0006494284607470036,0.0006494284607470036,0.6916304588317871,0.6916304588317871
11,0.0006086523062549531,0.0006086523062549531,0.6951323747634888,,,,,,,
12,0.0006056446582078934,0.0006056446582078934,0.6951454281806946,0.0007177597843110561,0.0007177597843110561,0.6934143543243408,0.0006463794037699699,0.0006463794037699699,0.6915842533111572,0.6915842533111572
13,0.0006020008586347103,0.0006020008586347103,0.6950939297676086,,,,,,,
14,0.0005994606181047857,0.0005994606181047857,0.6949903964996338,0.000717501062899828,0.000717501062899828,0.6934085845947265,0.0006441770121455193,0.0006441770121455193,0.6916513919830323,0.6916513919830323
15,0.0005980442510917783,0.0005980442510917783,0.6949443817138672,,,,,,,
16,0.0005930024199187756,0.0005930024199187756,0.6948838233947754,0.0007159196771681309,0.0007159196771681309,0.6933921813964844,0.0006412672810256481,0.0006412672810256481,0.6917469501495361,0.6917469501495361
17,0.0005952251958660781,0.0005952251958660781,0.6948316693305969,,,,,,,
18,0.0005913200438953936,0.0005913200438953936,0.694718599319458,0.0007149525452405214,0.0007149525452405214,0.6933908939361573,0.000639871647581458,0.000639871647581458,0.6918510913848877,0.6918510913848877
19,0.0005899964598938823,0.0005899964598938823,0.6947401762008667,,,,,,,
20,0.0005919858813285828,0.0005919858813285828,0.6947044134140015,0.0007149851880967617,0.0007149851880967617,0.6933696746826172,0.0006382348015904427,0.0006382348015904427,0.6918302536010742,0.6918302536010742
21,0.0005860223318450153,0.0005860223318450153,0.6945754885673523,,,,,,,
22,0.0005833788309246302,0.0005833788309246302,0.6945945620536804,0.0007150753401219845,0.0007150753401219845,0.693349552154541,0.0006364782806485891,0.0006364782806485891,0.69185791015625,0.69185791015625
23,0.0005787735572084785,0.0005787735572084785,0.6945065855979919,,,,,,,
24,0.0005819473881274462,0.0005819473881274462,0.6944494843482971,0.0007140717934817076,0.0007140717934817076,0.6933333873748779,0.0006345623172819614,0.0006345623172819614,0.6918799400329589,0.6918799400329589
25,0.0005815097829326987,0.0005815097829326987,0.6944857835769653,,,,,,,
26,0.0005819276557303965,0.0005819276557303965,0.6943715810775757,0.0007135616149753332,0.0007135616149753332,0.6933213233947754,0.0006333980243653059,0.0006333980243653059,0.6918887138366699,0.6918887138366699
27,0.0005807613488286734,0.0005807613488286734,0.6944267749786377,,,,,,,
28,0.0005772698204964399,0.0005772698204964399,0.694391131401062,0.0007131204009056091,0.0007131204009056091,0.6933156490325928,0.0006326783448457717,0.0006326783448457717,0.6918363571166992,0.6918363571166992
29,0.0005772961303591728,0.0005772961303591728,0.6943756937980652,,,,,,,
30,0.0005774786113761365,0.0005774786113761365,0.6943310499191284,0.000712953507900238,0.000712953507900238,0.6932991981506348,0.0006317338906228542,0.0006317338906228542,0.691840934753418,0.691840934753418
