threshold,precision,recall,pr_auc
0.0,0.4494477485131691,1.0,0.4950716563253876
0.005,0.4494477485131691,1.0,0.4950716563253876
0.01,0.4494477485131691,1.0,0.4950716563253876
0.015,0.4494477485131691,1.0,0.4950716563253876
0.02,0.4494477485131691,1.0,0.4950716563253876
0.025,0.4494477485131691,1.0,0.4950716563253876
0.03,0.4494477485131691,1.0,0.4950716563253876
0.035,0.4494477485131691,1.0,0.4950716563253876
0.04,0.4494477485131691,1.0,0.4950716563253876
0.045,0.4490967056323061,0.9985822306238186,0.4950716563253876
0.05,0.4443946188340807,0.9366729678638941,0.4950716563253876
0.055,0.4788770053475936,0.8464083175803403,0.4950716563253876
0.06,0.4821997105643994,0.7873345935727788,0.4950716563253876
0.065,0.4805088223225277,0.5534026465028355,0.4950716563253876
0.07,0.5024054982817869,0.3454631379962193,0.4950716563253876
0.075,0.49267100977198697,0.28591682419659736,0.4950716563253876
0.08,0.48810754912099275,0.22306238185255198,0.4950716563253876
0.085,0.483160621761658,0.17627599243856332,0.4950716563253876
0.09,0.48826979472140764,0.15737240075614367,0.4950716563253876
0.095,0.5112262521588946,0.13988657844990549,0.4950716563253876
0.1,0.5494505494505495,0.11814744801512288,0.4950716563253876
0.105,0.6151761517615176,0.10727788279773157,0.4950716563253876
0.11,0.618421052631579,0.0888468809073724,0.4950716563253876
0.115,0.6015625,0.07277882797731569,0.4950716563253876
0.12,0.5915492957746479,0.05954631379962193,0.4950716563253876
0.125,0.5934065934065934,0.05103969754253308,0.4950716563253876
0.13,0.5935483870967742,0.043478260869565216,0.4950716563253876
0.135,0.6044776119402985,0.03827977315689981,0.4950716563253876
0.14,0.6120689655172413,0.0335538752362949,0.4950716563253876
0.145,0.5777777777777777,0.024574669187145556,0.4950716563253876
0.15,0.5507246376811594,0.017958412098298678,0.4950716563253876
0.155,0.5087719298245614,0.013705103969754254,0.4950716563253876
0.16,0.54,0.01275992438563327,0.4950716563253876
0.165,0.5333333333333333,0.011342155009451797,0.4950716563253876
0.17,0.5428571428571428,0.008979206049149339,0.4950716563253876
0.17500000000000002,0.5625,0.008506616257088847,0.4950716563253876
0.18,0.5217391304347826,0.005671077504725898,0.4950716563253876
0.185,0.4444444444444444,0.003780718336483932,0.4950716563253876
0.19,0.35714285714285715,0.0023629489603024575,0.4950716563253876
0.195,0.25,0.000945179584120983,0.4950716563253876
0.2,0.3333333333333333,0.000945179584120983,0.4950716563253876
0.20500000000000002,1.0,0.0004725897920604915,0.4950716563253876
0.21,1.0,0.0,0.4950716563253876
0.215,1.0,0.0,0.4950716563253876
0.22,1.0,0.0,0.4950716563253876
0.225,1.0,0.0,0.4950716563253876
0.23,1.0,0.0,0.4950716563253876
0.23500000000000001,1.0,0.0,0.4950716563253876
0.24,1.0,0.0,0.4950716563253876
0.245,1.0,0.0,0.4950716563253876
0.25,1.0,0.0,0.4950716563253876
0.255,1.0,0.0,0.4950716563253876
0.26,1.0,0.0,0.4950716563253876
0.265,1.0,0.0,0.4950716563253876
0.27,1.0,0.0,0.4950716563253876
0.275,1.0,0.0,0.4950716563253876
0.28,1.0,0.0,0.4950716563253876
0.28500000000000003,1.0,0.0,0.4950716563253876
0.29,1.0,0.0,0.4950716563253876
0.295,1.0,0.0,0.4950716563253876
0.3,1.0,0.0,0.4950716563253876
0.305,1.0,0.0,0.4950716563253876
0.31,1.0,0.0,0.4950716563253876
0.315,1.0,0.0,0.4950716563253876
0.32,1.0,0.0,0.4950716563253876
0.325,1.0,0.0,0.4950716563253876
0.33,1.0,0.0,0.4950716563253876
0.335,1.0,0.0,0.4950716563253876
0.34,1.0,0.0,0.4950716563253876
0.34500000000000003,1.0,0.0,0.4950716563253876
0.35000000000000003,1.0,0.0,0.4950716563253876
0.355,1.0,0.0,0.4950716563253876
0.36,1.0,0.0,0.4950716563253876
0.365,1.0,0.0,0.4950716563253876
0.37,1.0,0.0,0.4950716563253876
0.375,1.0,0.0,0.4950716563253876
0.38,1.0,0.0,0.4950716563253876
0.385,1.0,0.0,0.4950716563253876
0.39,1.0,0.0,0.4950716563253876
0.395,1.0,0.0,0.4950716563253876
0.4,1.0,0.0,0.4950716563253876
0.405,1.0,0.0,0.4950716563253876
0.41000000000000003,1.0,0.0,0.4950716563253876
0.41500000000000004,1.0,0.0,0.4950716563253876
0.42,1.0,0.0,0.4950716563253876
0.425,1.0,0.0,0.4950716563253876
0.43,1.0,0.0,0.4950716563253876
0.435,1.0,0.0,0.4950716563253876
0.44,1.0,0.0,0.4950716563253876
0.445,1.0,0.0,0.4950716563253876
0.45,1.0,0.0,0.4950716563253876
0.455,1.0,0.0,0.4950716563253876
0.46,1.0,0.0,0.4950716563253876
0.465,1.0,0.0,0.4950716563253876
0.47000000000000003,1.0,0.0,0.4950716563253876
0.47500000000000003,1.0,0.0,0.4950716563253876
0.48,1.0,0.0,0.4950716563253876
0.485,1.0,0.0,0.4950716563253876
0.49,1.0,0.0,0.4950716563253876
0.495,1.0,0.0,0.4950716563253876
0.5,1.0,0.0,0.4950716563253876
0.505,1.0,0.0,0.4950716563253876
0.51,1.0,0.0,0.4950716563253876
0.515,1.0,0.0,0.4950716563253876
0.52,1.0,0.0,0.4950716563253876
0.525,1.0,0.0,0.4950716563253876
0.53,1.0,0.0,0.4950716563253876
0.535,1.0,0.0,0.4950716563253876
0.54,1.0,0.0,0.4950716563253876
0.545,1.0,0.0,0.4950716563253876
0.55,1.0,0.0,0.4950716563253876
0.555,1.0,0.0,0.4950716563253876
0.56,1.0,0.0,0.4950716563253876
