threshold,tpr,fpr,roc_auc
0.0,1.0,1.0,0.5528458219561716
0.005,1.0,1.0,0.5528458219561716
0.01,1.0,1.0,0.5528458219561716
0.015,1.0,1.0,0.5528458219561716
0.02,1.0,1.0,0.5528458219561716
0.025,1.0,1.0,0.5528458219561716
0.03,1.0,1.0,0.5528458219561716
0.035,1.0,1.0,0.5528458219561716
0.04,1.0,1.0,0.5528458219561716
0.045,0.9985822306238186,1.0,0.5528458219561716
0.05,0.9366729678638941,0.9560185185185185,0.5528458219561716
0.055,0.8464083175803403,0.751929012345679,0.5528458219561716
0.06,0.7873345935727788,0.6902006172839507,0.5528458219561716
0.065,0.5534026465028355,0.48842592592592593,0.5528458219561716
0.07,0.3454631379962193,0.279320987654321,0.5528458219561716
0.075,0.28591682419659736,0.24035493827160495,0.5528458219561716
0.08,0.22306238185255198,0.1909722222222222,0.5528458219561716
0.085,0.17627599243856332,0.15393518518518517,0.5528458219561716
0.09,0.15737240075614367,0.13464506172839505,0.5528458219561716
0.095,0.13988657844990549,0.1091820987654321,0.5528458219561716
0.1,0.11814744801512288,0.07908950617283951,0.5528458219561716
0.105,0.10727788279773157,0.05478395061728395,0.5528458219561716
0.11,0.0888468809073724,0.044753086419753084,0.5528458219561716
0.115,0.07277882797731569,0.03935185185185185,0.5528458219561716
0.12,0.05954631379962193,0.03356481481481482,0.5528458219561716
0.125,0.05103969754253308,0.02854938271604938,0.5528458219561716
0.13,0.043478260869565216,0.024305555555555556,0.5528458219561716
0.135,0.03827977315689981,0.02044753086419753,0.5528458219561716
0.14,0.0335538752362949,0.017361111111111112,0.5528458219561716
0.145,0.024574669187145556,0.014660493827160493,0.5528458219561716
0.15,0.017958412098298678,0.011959876543209876,0.5528458219561716
0.155,0.013705103969754254,0.010802469135802469,0.5528458219561716
0.16,0.01275992438563327,0.008873456790123456,0.5528458219561716
0.165,0.011342155009451797,0.008101851851851851,0.5528458219561716
0.17,0.008979206049149339,0.006172839506172839,0.5528458219561716
0.17500000000000002,0.008506616257088847,0.005401234567901234,0.5528458219561716
0.18,0.005671077504725898,0.004243827160493827,0.5528458219561716
0.185,0.003780718336483932,0.0038580246913580245,0.5528458219561716
0.19,0.0023629489603024575,0.003472222222222222,0.5528458219561716
0.195,0.000945179584120983,0.0023148148148148147,0.5528458219561716
0.2,0.000945179584120983,0.0015432098765432098,0.5528458219561716
0.20500000000000002,0.0004725897920604915,0.0,0.5528458219561716
0.21,0.0,0.0,0.5528458219561716
0.215,0.0,0.0,0.5528458219561716
0.22,0.0,0.0,0.5528458219561716
0.225,0.0,0.0,0.5528458219561716
0.23,0.0,0.0,0.5528458219561716
0.23500000000000001,0.0,0.0,0.5528458219561716
0.24,0.0,0.0,0.5528458219561716
0.245,0.0,0.0,0.5528458219561716
0.25,0.0,0.0,0.5528458219561716
0.255,0.0,0.0,0.5528458219561716
0.26,0.0,0.0,0.5528458219561716
0.265,0.0,0.0,0.5528458219561716
0.27,0.0,0.0,0.5528458219561716
0.275,0.0,0.0,0.5528458219561716
0.28,0.0,0.0,0.5528458219561716
0.28500000000000003,0.0,0.0,0.5528458219561716
0.29,0.0,0.0,0.5528458219561716
0.295,0.0,0.0,0.5528458219561716
0.3,0.0,0.0,0.5528458219561716
0.305,0.0,0.0,0.5528458219561716
0.31,0.0,0.0,0.5528458219561716
0.315,0.0,0.0,0.5528458219561716
0.32,0.0,0.0,0.5528458219561716
0.325,0.0,0.0,0.5528458219561716
0.33,0.0,0.0,0.5528458219561716
0.335,0.0,0.0,0.5528458219561716
0.34,0.0,0.0,0.5528458219561716
0.34500000000000003,0.0,0.0,0.5528458219561716
0.35000000000000003,0.0,0.0,0.5528458219561716
0.355,0.0,0.0,0.5528458219561716
0.36,0.0,0.0,0.5528458219561716
0.365,0.0,0.0,0.5528458219561716
0.37,0.0,0.0,0.5528458219561716
0.375,0.0,0.0,0.5528458219561716
0.38,0.0,0.0,0.5528458219561716
0.385,0.0,0.0,0.5528458219561716
0.39,0.0,0.0,0.5528458219561716
0.395,0.0,0.0,0.5528458219561716
0.4,0.0,0.0,0.5528458219561716
0.405,0.0,0.0,0.5528458219561716
0.41000000000000003,0.0,0.0,0.5528458219561716
0.41500000000000004,0.0,0.0,0.5528458219561716
0.42,0.0,0.0,0.5528458219561716
0.425,0.0,0.0,0.5528458219561716
0.43,0.0,0.0,0.5528458219561716
0.435,0.0,0.0,0.5528458219561716
0.44,0.0,0.0,0.5528458219561716
0.445,0.0,0.0,0.5528458219561716
0.45,0.0,0.0,0.5528458219561716
0.455,0.0,0.0,0.5528458219561716
0.46,0.0,0.0,0.5528458219561716
0.465,0.0,0.0,0.5528458219561716
0.47000000000000003,0.0,0.0,0.5528458219561716
0.47500000000000003,0.0,0.0,0.5528458219561716
0.48,0.0,0.0,0.5528458219561716
0.485,0.0,0.0,0.5528458219561716
0.49,0.0,0.0,0.5528458219561716
0.495,0.0,0.0,0.5528458219561716
0.5,0.0,0.0,0.5528458219561716
0.505,0.0,0.0,0.5528458219561716
0.51,0.0,0.0,0.5528458219561716
0.515,0.0,0.0,0.5528458219561716
0.52,0.0,0.0,0.5528458219561716
0.525,0.0,0.0,0.5528458219561716
0.53,0.0,0.0,0.5528458219561716
0.535,0.0,0.0,0.5528458219561716
0.54,0.0,0.0,0.5528458219561716
0.545,0.0,0.0,0.5528458219561716
0.55,0.0,0.0,0.5528458219561716
0.555,0.0,0.0,0.5528458219561716
0.56,0.0,0.0,0.5528458219561716
0.5650000000000001,0.0,0.0,0.5528458219561716
