threshold,tpr,fpr,roc_auc
0.0,1.0,1.0,0.4761087809808864
0.005,1.0,0.970679012345679,0.4761087809808864
0.01,0.9584120982986768,0.9058641975308642,0.4761087809808864
0.015,0.8771266540642723,0.8626543209876543,0.4761087809808864
0.02,0.8270321361058601,0.8271604938271605,0.4761087809808864
0.025,0.779773156899811,0.7943672839506173,0.4761087809808864
0.03,0.7381852551984878,0.7712191358024691,0.4761087809808864
0.035,0.7051039697542533,0.7527006172839507,0.4761087809808864
0.04,0.6824196597353497,0.7337962962962963,0.4761087809808864
0.045,0.6639886578449905,0.720679012345679,0.4761087809808864
0.05,0.6493383742911153,0.7067901234567902,0.4761087809808864
0.055,0.6356332703213611,0.6983024691358025,0.4761087809808864
0.06,0.6261814744801513,0.6921296296296297,0.4761087809808864
0.065,0.6143667296786389,0.6820987654320988,0.4761087809808864
0.07,0.6058601134215501,0.6724537037037037,0.4761087809808864
0.075,0.5978260869565217,0.6631944444444444,0.4761087809808864
0.08,0.5860113421550095,0.652391975308642,0.4761087809808864
0.085,0.5779773156899811,0.6415895061728395,0.4761087809808864
0.09,0.5689981096408318,0.6361882716049383,0.4761087809808864
0.095,0.5628544423440454,0.6304012345679012,0.4761087809808864
0.1,0.5562381852551985,0.6242283950617284,0.4761087809808864
0.105,0.5467863894139886,0.6192129629629629,0.4761087809808864
0.11,0.5368620037807184,0.6138117283950617,0.4761087809808864
0.115,0.5293005671077504,0.6095679012345679,0.4761087809808864
0.12,0.5217391304347826,0.6041666666666666,0.4761087809808864
0.125,0.5174858223062382,0.5999228395061729,0.4761087809808864
0.13,0.5132325141776938,0.5933641975308642,0.4761087809808864
0.135,0.5051984877126654,0.5902777777777778,0.4761087809808864
0.14,0.5004725897920604,0.5852623456790124,0.4761087809808864
0.145,0.4976370510396975,0.5794753086419753,0.4761087809808864
0.15,0.4933837429111531,0.5748456790123457,0.4761087809808864
0.155,0.4867674858223062,0.5698302469135802,0.4761087809808864
0.16,0.4825141776937618,0.5648148148148148,0.4761087809808864
0.165,0.4763705103969754,0.5621141975308642,0.4761087809808864
0.17,0.4706994328922495,0.5578703703703703,0.4761087809808864
0.17500000000000002,0.4673913043478261,0.5528549382716049,0.4761087809808864
0.18,0.46313799621928164,0.5482253086419753,0.4761087809808864
0.185,0.4607750472589792,0.5424382716049383,0.4761087809808864
0.19,0.4555765595463138,0.5354938271604939,0.4761087809808864
0.195,0.45226843100189035,0.527391975308642,0.4761087809808864
0.2,0.4447069943289225,0.5219907407407407,0.4761087809808864
0.20500000000000002,0.43998109640831756,0.5173611111111112,0.4761087809808864
0.21,0.43809073724007563,0.5123456790123457,0.4761087809808864
0.215,0.43289224952741023,0.5084876543209876,0.4761087809808864
0.22,0.42958412098298676,0.5030864197530864,0.4761087809808864
0.225,0.42438563327032136,0.4965277777777778,0.4761087809808864
0.23,0.42060491493383745,0.49189814814814814,0.4761087809808864
0.23500000000000001,0.41446124763705106,0.4845679012345679,0.4761087809808864
0.24,0.40879017013232516,0.4791666666666667,0.4761087809808864
0.245,0.40406427221172025,0.4722222222222222,0.4761087809808864
0.25,0.3983931947069943,0.4675925925925926,0.4761087809808864
0.255,0.3946124763705104,0.4591049382716049,0.4761087809808864
0.26,0.3908317580340265,0.45447530864197533,0.4761087809808864
0.265,0.387523629489603,0.45023148148148145,0.4761087809808864
0.27,0.3837429111531191,0.44212962962962965,0.4761087809808864
0.275,0.3813799621928166,0.4347993827160494,0.4761087809808864
0.28,0.3794896030245747,0.43094135802469136,0.4761087809808864
