threshold,precision,recall,pr_auc
0.0,0.4494477485131691,1.0,0.473483084285608
0.005,0.45682210708117443,1.0,0.473483084285608
0.01,0.463436928702011,0.9584120982986768,0.473483084285608
0.015,0.45356793743890517,0.8771266540642723,0.473483084285608
0.02,0.44940934771443247,0.8270321361058601,0.473483084285608
0.025,0.444863844702076,0.779773156899811,0.473483084285608
0.03,0.4386408312271834,0.7381852551984878,0.473483084285608
0.035,0.43334301481266335,0.7051039697542533,0.473483084285608
0.04,0.43156007172743577,0.6824196597353497,0.473483084285608
0.045,0.4292697830736327,0.6639886578449905,0.473483084285608
0.05,0.42857142857142855,0.6493383742911153,0.473483084285608
0.055,0.42630744849445323,0.6356332703213611,0.473483084285608
0.06,0.42481564604039757,0.6261814744801513,0.473483084285608
0.065,0.423728813559322,0.6143667296786389,0.473483084285608
0.07,0.423801652892562,0.6058601134215501,0.473483084285608
0.075,0.42392761394101874,0.5978260869565217,0.473483084285608
0.08,0.4230638007505971,0.5860113421550095,0.473483084285608
0.085,0.4237699237699238,0.5779773156899811,0.473483084285608
0.09,0.4220119172800561,0.5689981096408318,0.473483084285608
0.095,0.4215929203539823,0.5628544423440454,0.473483084285608
0.1,0.42110912343470486,0.5562381852551985,0.473483084285608
0.105,0.41889934829833453,0.5467863894139886,0.473483084285608
0.11,0.41657499083241656,0.5368620037807184,0.473483084285608
0.115,0.4148148148148148,0.5293005671077504,0.473483084285608
0.12,0.4134831460674157,0.5217391304347826,0.473483084285608
0.125,0.41320754716981134,0.5174858223062382,0.473483084285608
0.13,0.4138719512195122,0.5132325141776938,0.473483084285608
0.135,0.4113120430934975,0.5051984877126654,0.473483084285608
0.14,0.41110248447204967,0.5004725897920604,0.473483084285608
0.145,0.412133072407045,0.4976370510396975,0.473483084285608
0.15,0.4119968429360695,0.4933837429111531,0.473483084285608
0.155,0.4108496210610291,0.4867674858223062,0.473483084285608
0.16,0.4108651911468813,0.4825141776937618,0.473483084285608
0.165,0.40892494929006085,0.4763705103969754,0.473483084285608
0.17,0.40786240786240785,0.4706994328922495,0.473483084285608
0.17500000000000002,0.4083402146985962,0.4673913043478261,0.473483084285608
0.18,0.40816326530612246,0.46313799621928164,0.473483084285608
0.185,0.4094918101637967,0.4607750472589792,0.473483084285608
0.19,0.4098639455782313,0.4555765595463138,0.473483084285608
0.195,0.41179001721170394,0.45226843100189035,0.473483084285608
0.2,0.41020052310374894,0.4447069943289225,0.473483084285608
0.20500000000000002,0.4097711267605634,0.43998109640831756,0.473483084285608
0.21,0.41108647450110863,0.43809073724007563,0.473483084285608
0.215,0.41002685765443153,0.43289224952741023,0.473483084285608
0.22,0.41075463172164484,0.42958412098298676,0.473483084285608
0.225,0.41098398169336386,0.42438563327032136,0.473483084285608
0.23,0.4110854503464203,0.42060491493383745,0.473483084285608
0.23500000000000001,0.41115799343647447,0.41446124763705106,0.473483084285608
0.24,0.41053630754627435,0.40879017013232516,0.473483084285608
0.245,0.41125541125541126,0.40406427221172025,0.473483084285608
0.25,0.41021897810218977,0.3983931947069943,0.473483084285608
0.255,0.4123456790123457,0.3946124763705104,0.473483084285608
0.26,0.4124688279301746,0.3908317580340265,0.473483084285608
0.265,0.4126824358329139,0.387523629489603,0.473483084285608
0.27,0.41470888661899896,0.3837429111531191,0.473483084285608
0.275,0.4172699069286453,0.3813799621928166,0.473483084285608
0.28,0.41822916666666665,0.3794896030245747,0.473483084285608
0.28500000000000003,0.42035864978902954,0.3766540642722117,0.473483084285608
0.29,0.4227685729556387,0.3738185255198488,0.473483084285608
0.295,0.42416034669555797,0.3700378071833648,0.473483084285608
0.3,0.42637362637362636,0.3667296786389414,0.473483084285608
0.305,0.4259567387687188,0.3629489603024575,0.473483084285608
0.31,0.42424242424242425,0.3572778827977316,0.473483084285608
0.315,0.4262948207171315,0.3539697542533081,0.473483084285608
0.32,0.4270177447052089,0.35255198487712663,0.473483084285608
0.325,0.42939814814814814,0.3506616257088847,0.473483084285608
0.33,0.430327868852459,0.34735349716446123,0.473483084285608
0.335,0.43236857649143534,0.34593572778827975,0.473483084285608
0.34,0.43112701252236135,0.34168241965973534,0.473483084285608
0.34500000000000003,0.4313960455362493,0.34026465028355385,0.473483084285608
0.35000000000000003,0.4328267477203647,0.33648393194706994,0.473483084285608
0.355,0.43454210202827287,0.3341209829867675,0.473483084285608
0.36,0.43424317617866004,0.33081285444234404,0.473483084285608
0.365,0.4337727558066541,0.32655954631379963,0.473483084285608
0.37,0.4331855604813173,0.32325141776937616,0.473483084285608
0.375,0.43378119001919385,0.32041587901701324,0.473483084285608
0.38,0.4333764553686934,0.3166351606805293,0.473483084285608
0.385,0.4318330071754729,0.31285444234404536,0.473483084285608
0.39,0.4317732366512854,0.30954631379962194,0.473483084285608
0.395,0.4324866310160428,0.305765595463138,0.473483084285608
0.4,0.4315576534052596,0.30245746691871456,0.473483084285608
0.405,0.43052703627652295,0.29725897920604916,0.473483084285608
