threshold,precision,recall,pr_auc
0.0,0.4494477485131691,1.0,0.3681720544021097
0.005,0.4494477485131691,1.0,0.3681720544021097
0.01,0.4494477485131691,1.0,0.3681720544021097
0.015,0.4494477485131691,1.0,0.3681720544021097
0.02,0.4494477485131691,1.0,0.3681720544021097
0.025,0.4494477485131691,1.0,0.3681720544021097
0.03,0.4086807047700902,0.4494328922495274,0.3681720544021097
0.035,0.35068007096392667,0.28024574669187147,0.3681720544021097
0.04,0.332182320441989,0.2273156899810964,0.3681720544021097
0.045,0.26131511528608026,0.1446124763705104,0.3681720544021097
0.05,0.2248062015503876,0.10964083175803403,0.3681720544021097
0.055,0.22268041237113403,0.10207939508506617,0.3681720544021097
0.06,0.2174863387978142,0.0940453686200378,0.3681720544021097
0.065,0.2107728337236534,0.08506616257088846,0.3681720544021097
0.07,0.20050125313283207,0.07561436672967864,0.3681720544021097
0.075,0.19235836627140976,0.06899810964083176,0.3681720544021097
0.08,0.17955801104972377,0.06143667296786389,0.3681720544021097
0.085,0.1657142857142857,0.054820415879017016,0.3681720544021097
0.09,0.15246636771300448,0.048204158790170135,0.3681720544021097
0.095,0.1490015360983103,0.045841209829867675,0.3681720544021097
0.1,0.13848631239935588,0.04064272211720227,0.3681720544021097
0.105,0.12312811980033278,0.03497164461247637,0.3681720544021097
0.11,0.11092150170648464,0.030718336483931945,0.3681720544021097
0.115,0.10296684118673648,0.027882797731568997,0.3681720544021097
0.12,0.0975177304964539,0.02599243856332703,0.3681720544021097
0.125,0.0944741532976827,0.02504725897920605,0.3681720544021097
0.13,0.09403254972875226,0.024574669187145556,0.3681720544021097
0.135,0.09289617486338798,0.024102079395085067,0.3681720544021097
0.14,0.08687615526802218,0.0222117202268431,0.3681720544021097
0.145,0.08736059479553904,0.0222117202268431,0.3681720544021097
0.15,0.08286252354048965,0.020793950850661626,0.3681720544021097
0.155,0.0841300191204589,0.020793950850661626,0.3681720544021097
0.16,0.08237547892720307,0.020321361058601134,0.3681720544021097
0.165,0.08285163776493257,0.020321361058601134,0.3681720544021097
0.17,0.07976653696498054,0.019376181474480152,0.3681720544021097
0.17500000000000002,0.07858546168958742,0.01890359168241966,0.3681720544021097
0.18,0.0775347912524851,0.018431001890359167,0.3681720544021097
0.185,0.07768924302788845,0.018431001890359167,0.3681720544021097
0.19,0.07847082494969819,0.018431001890359167,0.3681720544021097
0.195,0.07959183673469387,0.018431001890359167,0.3681720544021097
0.2,0.07818930041152264,0.017958412098298678,0.3681720544021097
0.20500000000000002,0.07708333333333334,0.017485822306238186,0.3681720544021097
0.21,0.07740585774058577,0.017485822306238186,0.3681720544021097
0.215,0.07399577167019028,0.0165406427221172,0.3681720544021097
0.22,0.07494646680942184,0.0165406427221172,0.3681720544021097
0.225,0.07158351409978309,0.015595463137996219,0.3681720544021097
0.23,0.06651884700665188,0.014177693761814745,0.3681720544021097
0.23500000000000001,0.06561085972850679,0.013705103969754254,0.3681720544021097
0.24,0.0630841121495327,0.01275992438563327,0.3681720544021097
0.245,0.06175771971496437,0.012287334593572778,0.3681720544021097
0.25,0.06053268765133172,0.011814744801512287,0.3681720544021097
0.255,0.05707196029776675,0.010869565217391304,0.3681720544021097
0.26,0.055415617128463476,0.010396975425330813,0.3681720544021097
0.265,0.05357142857142857,0.00992438563327032,0.3681720544021097
0.27,0.05235602094240838,0.00945179584120983,0.3681720544021097
0.275,0.04878048780487805,0.008506616257088847,0.3681720544021097
0.28,0.04945054945054945,0.008506616257088847,0.3681720544021097
0.28500000000000003,0.045454545454545456,0.007561436672967864,0.3681720544021097
0.29,0.0377906976744186,0.006143667296786389,0.3681720544021097
0.295,0.029498525073746312,0.004725897920604915,0.3681720544021097
0.3,0.02710843373493976,0.004253308128544423,0.3681720544021097
0.305,0.024539877300613498,0.003780718336483932,0.3681720544021097
0.31,0.021875,0.0033081285444234404,0.3681720544021097
0.315,0.012861736334405145,0.001890359168241966,0.3681720544021097
0.32,0.010033444816053512,0.0014177693761814746,0.3681720544021097
0.325,0.010309278350515464,0.0014177693761814746,0.3681720544021097
0.33,0.0035460992907801418,0.0004725897920604915,0.3681720544021097
0.335,0.0036231884057971015,0.0004725897920604915,0.3681720544021097
0.34,0.003703703703703704,0.0004725897920604915,0.3681720544021097
0.34500000000000003,0.0,0.0,0.3681720544021097
0.35000000000000003,0.0,0.0,0.3681720544021097
0.355,0.0,0.0,0.3681720544021097
0.36,0.0,0.0,0.3681720544021097
0.365,0.0,0.0,0.3681720544021097
0.37,0.0,0.0,0.3681720544021097
0.375,0.0,0.0,0.3681720544021097
0.38,0.0,0.0,0.3681720544021097
0.385,0.0,0.0,0.3681720544021097
0.39,0.0,0.0,0.3681720544021097
0.395,0.0,0.0,0.3681720544021097
0.4,0.0,0.0,0.3681720544021097
0.405,0.0,0.0,0.3681720544021097
0.41000000000000003,0.0,0.0,0.3681720544021097
