threshold,tpr,fpr,roc_auc
0.0,1.0,1.0,0.4120313849214684
0.005,1.0,1.0,0.4120313849214684
0.01,1.0,1.0,0.4120313849214684
0.015,1.0,1.0,0.4120313849214684
0.02,1.0,1.0,0.4120313849214684
0.025,1.0,1.0,0.4120313849214684
0.03,0.4494328922495274,0.5308641975308642,0.4120313849214684
0.035,0.28024574669187147,0.4236111111111111,0.4120313849214684
0.04,0.2273156899810964,0.373070987654321,0.4120313849214684
0.045,0.1446124763705104,0.33371913580246915,0.4120313849214684
0.05,0.10964083175803403,0.30864197530864196,0.4120313849214684
0.055,0.10207939508506617,0.2908950617283951,0.4120313849214684
0.06,0.0940453686200378,0.2762345679012346,0.4120313849214684
0.065,0.08506616257088846,0.26003086419753085,0.4120313849214684
0.07,0.07561436672967864,0.24614197530864199,0.4120313849214684
0.075,0.06899810964083176,0.2364969135802469,0.4120313849214684
0.08,0.06143667296786389,0.22916666666666666,0.4120313849214684
0.085,0.054820415879017016,0.22530864197530864,0.4120313849214684
0.09,0.048204158790170135,0.21875,0.4120313849214684
0.095,0.045841209829867675,0.21373456790123457,0.4120313849214684
0.1,0.04064272211720227,0.20640432098765432,0.4120313849214684
0.105,0.03497164461247637,0.2033179012345679,0.4120313849214684
0.11,0.030718336483931945,0.2010030864197531,0.4120313849214684
0.115,0.027882797731568997,0.19830246913580246,0.4120313849214684
0.12,0.02599243856332703,0.19637345679012347,0.4120313849214684
0.125,0.02504725897920605,0.19598765432098766,0.4120313849214684
0.13,0.024574669187145556,0.19328703703703703,0.4120313849214684
0.135,0.024102079395085067,0.19212962962962962,0.4120313849214684
0.14,0.0222117202268431,0.19058641975308643,0.4120313849214684
0.145,0.0222117202268431,0.18942901234567902,0.4120313849214684
0.15,0.020793950850661626,0.1878858024691358,0.4120313849214684
0.155,0.020793950850661626,0.18479938271604937,0.4120313849214684
0.16,0.020321361058601134,0.18479938271604937,0.4120313849214684
0.165,0.020321361058601134,0.18364197530864199,0.4120313849214684
0.17,0.019376181474480152,0.18248456790123457,0.4120313849214684
0.17500000000000002,0.01890359168241966,0.18094135802469136,0.4120313849214684
0.18,0.018431001890359167,0.17901234567901234,0.4120313849214684
0.185,0.018431001890359167,0.17862654320987653,0.4120313849214684
0.19,0.018431001890359167,0.17669753086419754,0.4120313849214684
0.195,0.018431001890359167,0.1739969135802469,0.4120313849214684
0.2,0.017958412098298678,0.1728395061728395,0.4120313849214684
0.20500000000000002,0.017485822306238186,0.1709104938271605,0.4120313849214684
0.21,0.017485822306238186,0.1701388888888889,0.4120313849214684
0.215,0.0165406427221172,0.16898148148148148,0.4120313849214684
0.22,0.0165406427221172,0.16666666666666666,0.4120313849214684
0.225,0.015595463137996219,0.16512345679012347,0.4120313849214684
0.23,0.014177693761814745,0.16242283950617284,0.4120313849214684
0.23500000000000001,0.013705103969754254,0.15933641975308643,0.4120313849214684
0.24,0.01275992438563327,0.15470679012345678,0.4120313849214684
0.245,0.012287334593572778,0.15239197530864199,0.4120313849214684
0.25,0.011814744801512287,0.14969135802469136,0.4120313849214684
0.255,0.010869565217391304,0.14660493827160495,0.4120313849214684
0.26,0.010396975425330813,0.14467592592592593,0.4120313849214684
0.265,0.00992438563327032,0.1431327160493827,0.4120313849214684
