epoch,train_loss,train_heatmap_loss,train_presence_loss,train_center_mae_px,train_heatmap_focal_reg,val_loss,val_heatmap_loss,val_presence_loss,val_center_mae_px,val_heatmap_focal_reg,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss,test_center_mae_px,test_heatmap_focal_reg,val_pred_x_mean_px,val_pred_x_var_px,val_pred_y_mean_px,val_pred_y_var_px,test_pred_x_mean_px,test_pred_x_var_px,test_pred_y_mean_px,test_pred_y_var_px
1,14.725913047790527,7.8841447830200195,2.696712017059326,7.9232330322265625,0.20298372209072113,,,,,,,,,,,,,,,,,,,
2,6.003467082977295,2.640838384628296,1.9962185621261597,2.693039655685425,0.045991070568561554,,,,,,,,,,,,,,,,,,,
3,4.452164649963379,2.0665273666381836,1.3325703144073486,2.099214792251587,0.019802995026111603,,,,,,,,,,,,,,,,,,,
4,3.6094658374786377,1.8049315214157104,0.8752956986427307,1.8405872583389282,0.02677263878285885,,,,,,,,,,,,,,,,,,,
5,3.1960484981536865,1.6588099002838135,0.6735526919364929,1.6831852197647095,0.034280966967344284,,,,,,,,,,,,,,,,,,,
6,2.875020980834961,1.473337173461914,0.6278253793716431,1.4884365797042847,0.037189781665802,,,,,,,,,,,,,,,,,,,
7,2.678556203842163,1.3546867370605469,0.6084223985671997,1.3716983795166016,0.03810355067253113,,,,,,,,,,,,,,,,,,,
8,2.270782232284546,1.0883709192276,0.5999770164489746,1.1021959781646729,0.03824887424707413,,,,,,,,,,,,,,,,,,,
9,2.200521945953369,1.0497699975967407,0.5879464745521545,1.062100887298584,0.03792034462094307,,,,,,,,,,,,,,,,,,,
10,2.362852096557617,1.168667197227478,0.5729864835739136,1.1862332820892334,0.03686485067009926,8.081503617136102,4.946494253058183,0.6215363552695826,4.932796679045024,0.04042381700769759,24.1980269582648,15.656849108244243,0.66309612675717,0.66309612675717,15.682904695209704,0.04982401715269153,111.70523412539936,701.4374741015363,110.61983326677316,102.47932509201019,123.59398148148148,585.846260073733,113.80118634259259,115.4640610925926
