epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss
1,3.340991258621216,3.340991258621216,2.0186920166015625,,,,,,,
2,0.04742738977074623,0.04742738977074623,0.8268808126449585,59.53397216796875,59.53397216796875,8.779269409179687,54.3085205078125,54.3085205078125,7.934507751464844,7.934507751464844
3,0.007590658031404018,0.007590658031404018,0.7331135272979736,,,,,,,
4,0.003831296693533659,0.003831296693533659,0.7112501859664917,0.002942690439522266,0.002942690439522266,0.6938616752624511,0.003011607378721237,0.003011607378721237,0.6940470695495605,0.6940470695495605
5,0.0031305649317801,0.0031305649317801,0.6976685523986816,,,,,,,
6,0.002997308038175106,0.002997308038175106,0.699185311794281,0.0028930265456438065,0.0028930265456438065,0.6931443214416504,0.002993210405111313,0.002993210405111313,0.6936649799346923,0.6936649799346923
7,0.0029608458280563354,0.0029608458280563354,0.6971529722213745,,,,,,,
8,0.002949351444840431,0.002949351444840431,0.6962463855743408,0.0028944844380021095,0.0028944844380021095,0.6931477069854737,0.002994544990360737,0.002994544990360737,0.6936849594116211,0.6936849594116211
9,0.00294297793880105,0.00294297793880105,0.6958600282669067,,,,,,,
10,0.002938065445050597,0.002938065445050597,0.6956543326377869,0.0028932582587003707,0.0028932582587003707,0.6931460857391357,0.002993406355381012,0.002993406355381012,0.693653917312622,0.693653917312622
11,0.0029333941638469696,0.0029333941638469696,0.6954706907272339,,,,,,,
12,0.002922154264524579,0.002922154264524579,0.6952493190765381,0.002891771122813225,0.002891771122813225,0.693143653869629,0.0029920494183897973,0.0029920494183897973,0.6936140060424805,0.6936140060424805
13,0.002923227148130536,0.002923227148130536,0.6950488686561584,,,,,,,
14,0.0029200001154094934,0.0029200001154094934,0.6949428915977478,0.002891998738050461,0.002891998738050461,0.693143892288208,0.002992253191769123,0.002992253191769123,0.6936151027679444,0.6936151027679444
15,0.0029191819485276937,0.0029191819485276937,0.6948412656784058,,,,,,,
16,0.0029149833135306835,0.0029149833135306835,0.6947546005249023,0.0028917143121361733,0.0028917143121361733,0.6931453704833984,0.002991998381912708,0.002991998381912708,0.6936039924621582,0.6936039924621582
17,0.00291477981954813,0.00291477981954813,0.6946404576301575,,,,,,,
18,0.0029076787177473307,0.0029076787177473307,0.6945438981056213,0.0028908450156450273,0.0028908450156450273,0.6931444644927979,0.0029912510886788367,0.0029912510886788367,0.6935724735260009,0.6935724735260009
19,0.0029105632565915585,0.0029105632565915585,0.6944869160652161,,,,,,,
20,0.0029133809730410576,0.0029133809730410576,0.6944231986999512,0.0028905898332595827,0.0028905898332595827,0.6931438446044922,0.002991042286157608,0.002991042286157608,0.6935626983642578,0.6935626983642578
21,0.0029054286424070597,0.0029054286424070597,0.694404661655426,,,,,,,
22,0.00290473410859704,0.00290473410859704,0.6943680644035339,0.002890627272427082,0.002890627272427082,0.6931436061859131,0.0029910700395703316,0.0029910700395703316,0.6935634613037109,0.6935634613037109
23,0.0029036025516688824,0.0029036025516688824,0.694344699382782,,,,,,,
24,0.0029039413202553988,0.0029039413202553988,0.6942809224128723,0.0028904259204864504,0.0028904259204864504,0.6931431770324707,0.0029909176751971244,0.0029909176751971244,0.6935523509979248,0.6935523509979248
25,0.00290151359513402,0.00290151359513402,0.694263219833374,,,,,,,
26,0.002903243061155081,0.002903243061155081,0.6942297220230103,0.00289028026163578,0.00289028026163578,0.6931434154510498,0.002990822494029999,0.002990822494029999,0.6935409545898438,0.6935409545898438
27,0.0029065865091979504,0.0029065865091979504,0.6942546367645264,,,,,,,
28,0.002899890998378396,0.002899890998378396,0.6942546367645264,0.0028903376311063766,0.0028903376311063766,0.6931434154510498,0.0029908571392297744,0.0029908571392297744,0.6935483932495117,0.6935483932495117
29,0.0029000635258853436,0.0029000635258853436,0.6942427158355713,,,,,,,
30,0.0029029659926891327,0.0029029659926891327,0.6941834688186646,0.002890215069055557,0.002890215069055557,0.6931432723999024,0.0029907941818237303,0.0029907941818237303,0.6935336112976074,0.6935336112976074
